PUR,INDIV,SING
0.0,0.0,0.0
25.0,20.0,25.0
942.0,1.0,942.0
3417.0,1.0,3417.0
5918.0,5.0,5918.0
7915.0,11.0,7915.0
10442.0,19.0,10442.0
19577.0,998.0,19577.0
40686.0,3572.0,40686.0
52748.0,6225.0,52748.0
36520.0,8971.0,36520.0
21275.0,16617.0,21275.0
22684.0,31836.0,22684.0
25856.0,53229.0,25856.0
19946.0,63530.0,19946.0
12635.0,43398.0,12635.0
9486.0,25726.0,9486.0
9035.0,26561.0,9035.0
9016.0,29600.0,9016.0
8914.0,23461.0,8914.0
8677.0,15646.0,8677.0
8844.0,12271.0,8844.0
8573.0,11727.0,8573.0
8646.0,11599.0,8646.0
8549.0,11575.0,8549.0
8676.0,11331.0,8676.0
8612.0,11460.0,8612.0
8651.0,11191.0,8651.0
8680.0,11203.0,8680.0
8755.0,11117.0,8755.0
8853.0,11230.0,8852.0
8803.0,11133.0,8803.0
8693.0,11157.0,8692.0
8704.0,11191.0,8701.0
8838.0,11280.0,8836.0
8769.0,11346.0,8768.0
8755.0,11305.0,8752.0
8771.0,11118.0,8765.0
8678.0,11141.0,8675.0
8502.0,11416.0,8494.0
8644.0,11299.0,8631.0
8683.0,11226.0,8671.0
8568.0,11265.0,8555.0
8588.0,11228.0,8574.0
8564.0,11118.0,8547.0
8581.0,11603.0,8557.0
8516.0,12358.0,8483.0
8443.0,13443.0,8404.0
8426.0,15075.0,8383.0
8353.0,16221.0,8305.0
8310.0,16042.0,8248.0
8305.0,14851.0,8238.0
8310.0,13447.0,8230.0
8320.0,12503.0,8237.0
8276.0,11705.0,8190.0
8310.0,11372.0,8225.0
8157.0,11130.0,8072.0
8289.0,11033.0,8219.0
8174.0,10944.0,8101.0
8065.0,10803.0,8001.0
8140.0,10788.0,8051.0
8135.0,10635.0,8050.0
8192.0,10774.0,8106.0
8079.0,10593.0,8007.0
8138.0,10522.0,8054.0
8031.0,10462.0,7947.0
8008.0,10485.0,7931.0
8047.0,10492.0,7966.0
7893.0,10379.0,7828.0
7906.0,10453.0,7830.0
7870.0,10360.0,7796.0
7899.0,10342.0,7838.0
7956.0,10334.0,7879.0
8031.0,10233.0,7952.0
7878.0,10253.0,7808.0
7890.0,10145.0,7824.0
8075.0,10185.0,7997.0
7933.0,10219.0,7864.0
8015.0,10420.0,7946.0
7945.0,10167.0,7882.0
7825.0,10211.0,7765.0
8007.0,10423.0,7943.0
8030.0,10307.0,7965.0
8036.0,10388.0,7966.0
8014.0,10348.0,7944.0
7902.0,10220.0,7836.0
8000.0,10351.0,7933.0
8088.0,10419.0,8010.0
8149.0,10446.0,8084.0
8113.0,10438.0,8018.0
8236.0,10303.0,8143.0
8258.0,10473.0,8166.0
8239.0,10558.0,8154.0
8286.0,10616.0,8195.0
8214.0,10624.0,8127.0
8300.0,10746.0,8223.0
8384.0,10798.0,8299.0
8376.0,10727.0,8290.0
8261.0,10806.0,8178.0
8537.0,10858.0,8447.0
8471.0,10930.0,8380.0
8433.0,11019.0,8327.0
8442.0,11014.0,8351.0
8324.0,10927.0,8225.0
8465.0,11221.0,8363.0
8516.0,11177.0,8424.0
8425.0,11193.0,8325.0
8409.0,11245.0,8306.0
8578.0,11054.0,8461.0
8520.0,11214.0,8409.0
8427.0,11386.0,8323.0
8335.0,11330.0,8227.0
8490.0,11222.0,8370.0
8557.0,11419.0,8430.0
8499.0,11362.0,8380.0
8427.0,11329.0,8295.0
8564.0,11258.0,8428.0
8523.0,11365.0,8393.0
8434.0,11464.0,8300.0
8408.0,11397.0,8278.0
8589.0,11451.0,8462.0
8500.0,11536.0,8357.0
8559.0,11441.0,8416.0
8674.0,11356.0,8523.0
8544.0,11376.0,8379.0
8527.0,11559.0,8372.0
8634.0,11501.0,8474.0
8675.0,11594.0,8517.0
8723.0,11684.0,8580.0
8778.0,11587.0,8613.0
8835.0,11604.0,8661.0
8643.0,11657.0,8496.0
8680.0,11775.0,8506.0
8589.0,11800.0,8408.0
8765.0,11803.0,8567.0
8780.0,11877.0,8595.0
8681.0,11681.0,8499.0
8766.0,11644.0,8587.0
8880.0,11589.0,8696.0
8813.0,11726.0,8598.0
8806.0,11819.0,8618.0
8955.0,11697.0,8750.0
8799.0,11799.0,8584.0
8813.0,11911.0,8596.0
8981.0,11772.0,8760.0
9019.0,11860.0,8790.0
9025.0,11895.0,8804.0
9049.0,11775.0,8830.0
9204.0,11793.0,8963.0
9273.0,11960.0,9031.0
9115.0,11957.0,8887.0
9257.0,11944.0,9018.0
9392.0,12047.0,9136.0
9355.0,12135.0,9102.0
9453.0,12263.0,9188.0
9472.0,12073.0,9204.0
9660.0,12277.0,9388.0
9987.0,12319.0,9697.0
9978.0,12257.0,9679.0
10139.0,12325.0,9842.0
10632.0,12443.0,10300.0
10832.0,12599.0,10535.0
11044.0,12926.0,10700.0
11253.0,12906.0,10913.0
11397.0,13031.0,11050.0
11369.0,13536.0,10996.0
11354.0,13863.0,10957.0
11252.0,13979.0,10883.0
11087.0,14219.0,10684.0
10809.0,14425.0,10450.0
10759.0,14307.0,10385.0
10721.0,14294.0,10342.0
10722.0,14349.0,10325.0
10649.0,14007.0,10260.0
10404.0,13879.0,10004.0
10384.0,13901.0,9999.0
10226.0,13874.0,9847.0
10159.0,13759.0,9745.0
10202.0,13735.0,9784.0
